"gene_set","gene_symbol"
"Inflammation","ABCA1"
"Inflammation","ABI1"
"Inflammation","ACVR1B"
"Inflammation","ACVR2A"
"Inflammation","ADGRE1"
"Inflammation","ADM"
"Inflammation","ADORA2B"
"Inflammation","ADRM1"
"Inflammation","AHR"
"Inflammation","APLNR"
"Inflammation","AQP9"
"Inflammation","ATP2A2"
"Inflammation","ATP2B1"
"Inflammation","ATP2C1"
"Inflammation","AXL"
"Inflammation","BDKRB1"
"Inflammation","BEST1"
"Inflammation","BST2"
"Inflammation","BTG2"
"Inflammation","C3AR1"
"Inflammation","C5AR1"
"Inflammation","CALCRL"
"Inflammation","CCL17"
"Inflammation","CCL2"
"Inflammation","CCL20"
"Inflammation","CCL22"
"Inflammation","CCL24"
"Inflammation","CCL5"
"Inflammation","CCL7"
"Inflammation","CCR7"
"Inflammation","CCRL2"
"Inflammation","CD14"
"Inflammation","CD40"
"Inflammation","CD48"
"Inflammation","CD55"
"Inflammation","CD69"
"Inflammation","CD70"
"Inflammation","CD82"
"Inflammation","CDKN1A"
"Inflammation","CHST2"
"Inflammation","CLEC5A"
"Inflammation","CMKLR1"
"Inflammation","CSF1"
"Inflammation","CSF3"
"Inflammation","CSF3R"
"Inflammation","CX3CL1"
"Inflammation","CXCL10"
"Inflammation","CXCL11"
"Inflammation","CXCL6"
"Inflammation","CXCL8"
"Inflammation","CXCL9"
"Inflammation","CXCR6"
"Inflammation","CYBB"
"Inflammation","DCBLD2"
"Inflammation","EBI3"
"Inflammation","EDN1"
"Inflammation","EIF2AK2"
"Inflammation","EMP3"
"Inflammation","EREG"
"Inflammation","F3"
"Inflammation","FFAR2"
"Inflammation","FPR1"
"Inflammation","FZD5"
"Inflammation","GABBR1"
"Inflammation","GCH1"
"Inflammation","GNA15"
"Inflammation","GNAI3"
"Inflammation","GP1BA"
"Inflammation","GPC3"
"Inflammation","GPR132"
"Inflammation","GPR183"
"Inflammation","HAS2"
"Inflammation","HBEGF"
"Inflammation","HIF1A"
"Inflammation","HPN"
"Inflammation","HRH1"
"Inflammation","ICAM1"
"Inflammation","ICAM4"
"Inflammation","ICOSLG"
"Inflammation","IFITM1"
"Inflammation","IFNAR1"
"Inflammation","IFNGR2"
"Inflammation","IL10"
"Inflammation","IL10RA"
"Inflammation","IL12B"
"Inflammation","IL15"
"Inflammation","IL15RA"
"Inflammation","IL18"
"Inflammation","IL18R1"
"Inflammation","IL18RAP"
"Inflammation","IL1A"
"Inflammation","IL1B"
"Inflammation","IL1R1"
"Inflammation","IL2RB"
"Inflammation","IL4R"
"Inflammation","IL6"
"Inflammation","IL7R"
"Inflammation","INHBA"
"Inflammation","IRAK2"
"Inflammation","IRF1"
"Inflammation","IRF7"
"Inflammation","ITGA5"
"Inflammation","ITGB3"
"Inflammation","ITGB8"
"Inflammation","KCNA3"
"Inflammation","KCNJ2"
"Inflammation","KCNMB2"
"Inflammation","KIF1B"
"Inflammation","KLF6"
"Inflammation","LAMP3"
"Inflammation","LCK"
"Inflammation","LCP2"
"Inflammation","LDLR"
"Inflammation","LIF"
"Inflammation","LPAR1"
"Inflammation","LTA"
"Inflammation","LY6E"
"Inflammation","LYN"
"Inflammation","MARCO"
"Inflammation","MEFV"
"Inflammation","MEP1A"
"Inflammation","MET"
"Inflammation","MMP14"
"Inflammation","MSR1"
"Inflammation","MXD1"
"Inflammation","MYC"
"Inflammation","NAMPT"
"Inflammation","NDP"
"Inflammation","NFKB1"
"Inflammation","NFKBIA"
"Inflammation","NLRP3"
"Inflammation","NMI"
"Inflammation","NMUR1"
"Inflammation","NOD2"
"Inflammation","NPFFR2"
"Inflammation","OLR1"
"Inflammation","OPRK1"
"Inflammation","OSM"
"Inflammation","OSMR"
"Inflammation","P2RX4"
"Inflammation","P2RX7"
"Inflammation","P2RY2"
"Inflammation","PCDH7"
"Inflammation","PDE4B"
"Inflammation","PDPN"
"Inflammation","PIK3R5"
"Inflammation","PLAUR"
"Inflammation","PROK2"
"Inflammation","PSEN1"
"Inflammation","PTAFR"
"Inflammation","PTGER2"
"Inflammation","PTGER4"
"Inflammation","PTGIR"
"Inflammation","PTPRE"
"Inflammation","PVR"
"Inflammation","RAF1"
"Inflammation","RASGRP1"
"Inflammation","RELA"
"Inflammation","RGS1"
"Inflammation","RGS16"
"Inflammation","RHOG"
"Inflammation","RIPK2"
"Inflammation","RNF144B"
"Inflammation","ROS1"
"Inflammation","RTP4"
"Inflammation","SCARF1"
"Inflammation","SCN1B"
"Inflammation","SELE"
"Inflammation","SELENOS"
"Inflammation","SELL"
"Inflammation","SEMA4D"
"Inflammation","SERPINE1"
"Inflammation","SGMS2"
"Inflammation","SLAMF1"
"Inflammation","SLC11A2"
"Inflammation","SLC1A2"
"Inflammation","SLC28A2"
"Inflammation","SLC31A1"
"Inflammation","SLC31A2"
"Inflammation","SLC4A4"
"Inflammation","SLC7A1"
"Inflammation","SLC7A2"
"Inflammation","SPHK1"
"Inflammation","SRI"
"Inflammation","STAB1"
"Inflammation","TACR1"
"Inflammation","TACR3"
"Inflammation","TAPBP"
"Inflammation","TIMP1"
"Inflammation","TLR1"
"Inflammation","TLR2"
"Inflammation","TLR3"
"Inflammation","TNFAIP6"
"Inflammation","TNFRSF1B"
"Inflammation","TNFRSF9"
"Inflammation","TNFSF10"
"Inflammation","TNFSF15"
"Inflammation","TNFSF9"
"Inflammation","TPBG"
"Inflammation","VIP"
"TNFaNFKB","ABCA1"
"TNFaNFKB","ACKR3"
"TNFaNFKB","AREG"
"TNFaNFKB","ATF3"
"TNFaNFKB","ATP2B1"
"TNFaNFKB","B4GALT1"
"TNFaNFKB","B4GALT5"
"TNFaNFKB","BCL2A1"
"TNFaNFKB","BCL3"
"TNFaNFKB","BCL6"
"TNFaNFKB","BHLHE40"
"TNFaNFKB","BIRC2"
"TNFaNFKB","BIRC3"
"TNFaNFKB","BMP2"
"TNFaNFKB","BTG1"
"TNFaNFKB","BTG2"
"TNFaNFKB","BTG3"
"TNFaNFKB","CCL2"
"TNFaNFKB","CCL20"
"TNFaNFKB","CCL4"
"TNFaNFKB","CCL5"
"TNFaNFKB","CCN1"
"TNFaNFKB","CCND1"
"TNFaNFKB","CCNL1"
"TNFaNFKB","CCRL2"
"TNFaNFKB","CD44"
"TNFaNFKB","CD69"
"TNFaNFKB","CD80"
"TNFaNFKB","CD83"
"TNFaNFKB","CDKN1A"
"TNFaNFKB","CEBPB"
"TNFaNFKB","CEBPD"
"TNFaNFKB","CFLAR"
"TNFaNFKB","CLCF1"
"TNFaNFKB","CSF1"
"TNFaNFKB","CSF2"
"TNFaNFKB","CXCL1"
"TNFaNFKB","CXCL10"
"TNFaNFKB","CXCL11"
"TNFaNFKB","CXCL2"
"TNFaNFKB","CXCL3"
"TNFaNFKB","CXCL6"
"TNFaNFKB","DENND5A"
"TNFaNFKB","DNAJB4"
"TNFaNFKB","DRAM1"
"TNFaNFKB","DUSP1"
"TNFaNFKB","DUSP2"
"TNFaNFKB","DUSP4"
"TNFaNFKB","DUSP5"
"TNFaNFKB","EDN1"
"TNFaNFKB","EFNA1"
"TNFaNFKB","EGR1"
"TNFaNFKB","EGR2"
"TNFaNFKB","EGR3"
"TNFaNFKB","EHD1"
"TNFaNFKB","EIF1"
"TNFaNFKB","ETS2"
"TNFaNFKB","F2RL1"
"TNFaNFKB","F3"
"TNFaNFKB","FJX1"
"TNFaNFKB","FOS"
"TNFaNFKB","FOSB"
"TNFaNFKB","FOSL1"
"TNFaNFKB","FOSL2"
"TNFaNFKB","FUT4"
"TNFaNFKB","G0S2"
"TNFaNFKB","GADD45A"
"TNFaNFKB","GADD45B"
"TNFaNFKB","GCH1"
"TNFaNFKB","GEM"
"TNFaNFKB","GFPT2"
"TNFaNFKB","GPR183"
"TNFaNFKB","HBEGF"
"TNFaNFKB","HES1"
"TNFaNFKB","ICAM1"
"TNFaNFKB","ICOSLG"
"TNFaNFKB","ID2"
"TNFaNFKB","IER2"
"TNFaNFKB","IER3"
"TNFaNFKB","IER5"
"TNFaNFKB","IFIH1"
"TNFaNFKB","IFIT2"
"TNFaNFKB","IFNGR2"
"TNFaNFKB","IL12B"
"TNFaNFKB","IL15RA"
"TNFaNFKB","IL18"
"TNFaNFKB","IL1A"
"TNFaNFKB","IL1B"
"TNFaNFKB","IL23A"
"TNFaNFKB","IL6"
"TNFaNFKB","IL6ST"
"TNFaNFKB","IL7R"
"TNFaNFKB","INHBA"
"TNFaNFKB","IRF1"
"TNFaNFKB","IRS2"
"TNFaNFKB","JAG1"
"TNFaNFKB","JUN"
"TNFaNFKB","JUNB"
"TNFaNFKB","KDM6B"
"TNFaNFKB","KLF10"
"TNFaNFKB","KLF2"
"TNFaNFKB","KLF4"
"TNFaNFKB","KLF6"
"TNFaNFKB","KLF9"
"TNFaNFKB","KYNU"
"TNFaNFKB","LAMB3"
"TNFaNFKB","LDLR"
"TNFaNFKB","LIF"
"TNFaNFKB","LITAF"
"TNFaNFKB","MAFF"
"TNFaNFKB","MAP2K3"
"TNFaNFKB","MAP3K8"
"TNFaNFKB","MARCKS"
"TNFaNFKB","MCL1"
"TNFaNFKB","MSC"
"TNFaNFKB","MXD1"
"TNFaNFKB","MYC"
"TNFaNFKB","NAMPT"
"TNFaNFKB","NFAT5"
"TNFaNFKB","NFE2L2"
"TNFaNFKB","NFIL3"
"TNFaNFKB","NFKB1"
"TNFaNFKB","NFKB2"
"TNFaNFKB","NFKBIA"
"TNFaNFKB","NFKBIE"
"TNFaNFKB","NINJ1"
"TNFaNFKB","NR4A1"
"TNFaNFKB","NR4A2"
"TNFaNFKB","NR4A3"
"TNFaNFKB","OLR1"
"TNFaNFKB","PANX1"
"TNFaNFKB","PDE4B"
"TNFaNFKB","PDLIM5"
"TNFaNFKB","PER1"
"TNFaNFKB","PFKFB3"
"TNFaNFKB","PHLDA1"
"TNFaNFKB","PHLDA2"
"TNFaNFKB","PLAU"
"TNFaNFKB","PLAUR"
"TNFaNFKB","PLEK"
"TNFaNFKB","PLK2"
"TNFaNFKB","PLPP3"
"TNFaNFKB","PMEPA1"
"TNFaNFKB","PNRC1"
"TNFaNFKB","PPP1R15A"
"TNFaNFKB","PTGER4"
"TNFaNFKB","PTGS2"
"TNFaNFKB","PTPRE"
"TNFaNFKB","PTX3"
"TNFaNFKB","RCAN1"
"TNFaNFKB","REL"
"TNFaNFKB","RELA"
"TNFaNFKB","RELB"
"TNFaNFKB","RHOB"
"TNFaNFKB","RIGI"
"TNFaNFKB","RIPK2"
"TNFaNFKB","RNF19B"
"TNFaNFKB","SAT1"
"TNFaNFKB","SDC4"
"TNFaNFKB","SERPINB2"
"TNFaNFKB","SERPINB8"
