dataset,file,variable,type,unit_or_levels,definition,analysis_role
manifest,config/data_manifest.csv,dataset,character,GSE accession,Public dataset identifier,provenance
manifest,config/data_manifest.csv,file,character,filename,Expected local raw filename,download
manifest,config/data_manifest.csv,source_url,character,URL,Authoritative public download URL,download
manifest,config/data_manifest.csv,expected_md5,character,32 hex characters,Locked MD5 checksum,input integrity
manifest,config/data_manifest.csv,role,character,text,Dataset or file role in the evidence chain,provenance
manifest,config/data_manifest.csv,required,character,yes or supportive,Whether the file is required for the complete rebuild,input gate
registry,data/derived/extended/sample_registry.csv,accession,character,GSE accession,Parent public cohort,stratification
registry,data/derived/extended/sample_registry.csv,gsm,character,GSM accession,Unique GEO sample identifier,traceability
registry,data/derived/extended/sample_registry.csv,subject,character,study-specific ID,Participant identifier within accession,inferential unit
registry,data/derived/extended/sample_registry.csv,disease,character,UC or other,Published disease annotation,eligibility
registry,data/derived/extended/sample_registry.csv,treatment,character,drug or placebo,Treatment received or assigned,stratification
registry,data/derived/extended/sample_registry.csv,visit,character,published visit,Sampling time point,longitudinal pairing
registry,data/derived/extended/sample_registry.csv,response,character,Yes or No,Published primary response or remission status,outcome
registry,data/derived/extended/sample_registry.csv,endpoint,character,text,Cohort-specific clinical endpoint,estimand definition
registry,data/derived/extended/sample_registry.csv,eligible,logical,TRUE or FALSE,Meets project-specific analysis eligibility,inclusion gate
registry,data/derived/extended/sample_registry.csv,randomized_arm,logical,TRUE or FALSE,Sample belongs to a randomized comparison,RCT audit
baseline,results/source_data/common_state_baseline_patient_data.csv,response_binary,integer,0 or 1,One indicates clinical response or remission,outcome
baseline,results/source_data/common_state_baseline_patient_data.csv,Inflammation_z,numeric,within-accession SD,Locked inflammatory-response score standardized in baseline UC,primary exposure
baseline,results/source_data/common_state_baseline_patient_data.csv,TNFaNFKB_z,numeric,within-accession SD,Hallmark TNF alpha via NF-kB score,supportive exposure
baseline,results/source_data/common_state_baseline_patient_data.csv,IL6JAKSTAT3_z,numeric,within-accession SD,Hallmark IL6 JAK STAT3 score,supportive exposure
baseline,results/source_data/common_state_baseline_patient_data.csv,OxidativePhos_neg_z,numeric,within-accession SD,Direction-locked oxidative phosphorylation control,specificity control
baseline,results/source_data/common_state_baseline_patient_data.csv,Random_neg_z,numeric,within-accession SD,Direction-locked frozen random gene set,specificity control
baseline,results/source_data/common_state_baseline_patient_data.csv,mechanism,character,anti-TNF or UST or VDZ,Biologic mechanism class,subgroup
baseline,results/source_data/common_state_baseline_patient_data.csv,arm,character,Active or Placebo,Randomized or observed treatment arm,RCT separation
baseline_effect,results/tables/common_state/table_primary_cross_mechanism_associations.csv,odds_ratio,numeric,response OR,Response odds ratio per 1-SD higher baseline score,primary estimand
