"package","required","available","version"
"GEOquery",TRUE,TRUE,"2.76.0"
"Biobase",TRUE,TRUE,"2.68.0"
"AnnotationDbi",TRUE,TRUE,"1.70.0"
"hthgu133pluspm.db",TRUE,TRUE,"3.13.0"
"hgu133plus2.db",TRUE,TRUE,"3.13.0"
"GSVA",TRUE,TRUE,"2.2.1"
"logistf",TRUE,TRUE,"1.26.1"
"metafor",TRUE,TRUE,"5.0.1"
"lme4",TRUE,TRUE,"2.0.1"
"ggplot2",TRUE,TRUE,"4.0.3"
"patchwork",TRUE,TRUE,"1.3.2"
"ggridges",TRUE,TRUE,"0.5.7"
"ggrepel",TRUE,TRUE,"0.9.8"
"scales",TRUE,TRUE,"1.4.0"
"svglite",TRUE,TRUE,"2.2.2"
"ragg",TRUE,TRUE,"1.5.2"
"rhdf5",TRUE,TRUE,"2.52.1"
"Matrix",TRUE,TRUE,"1.7.5"
"dplyr",TRUE,TRUE,"1.2.1"
"msigdbr",FALSE,TRUE,"26.1.0"
