"stage","action","started","finished","duration_seconds","log"
"preflight","fresh-skip","2026-07-21 06:23:08 UTC","2026-07-21 06:23:08 UTC",0.0146729946136475,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/preflight.log"
"gene_sets","ran","2026-07-21 06:23:08 UTC","2026-07-21 06:23:08 UTC",0.239871025085449,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/gene_sets.log"
"bulk_download","offline-existing","2026-07-21 06:23:08 UTC","2026-07-21 06:23:08 UTC",0.000194787979125977,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/bulk_download.log"
"registry","ran","2026-07-21 06:23:08 UTC","2026-07-21 06:23:52 UTC",43.9159781932831,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/registry.log"
"bulk_scores","ran","2026-07-21 06:23:52 UTC","2026-07-21 06:25:58 UTC",126.158603906631,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/bulk_scores.log"
"baseline_models","ran","2026-07-21 06:25:58 UTC","2026-07-21 06:26:02 UTC",3.75664091110229,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/baseline_models.log"
"confounding_audit","ran","2026-07-21 06:26:02 UTC","2026-07-21 06:26:39 UTC",37.3599119186401,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/confounding_audit.log"
"longitudinal","ran","2026-07-21 06:26:39 UTC","2026-07-21 06:26:45 UTC",6.12643694877625,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/longitudinal.log"
"bulk_figures","ran","2026-07-21 06:26:45 UTC","2026-07-21 06:27:08 UTC",23.1256990432739,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/bulk_figures.log"
"supplementary_figures","ran","2026-07-21 06:27:08 UTC","2026-07-21 06:27:26 UTC",18.1666309833527,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/supplementary_figures.log"
"singlecell_download","offline-existing","2026-07-21 06:27:26 UTC","2026-07-21 06:27:26 UTC",0.000190019607543945,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/singlecell_download.log"
"singlecell_analysis","ran","2026-07-21 06:27:26 UTC","2026-07-21 06:28:21 UTC",54.4721310138702,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/singlecell_analysis.log"
"singlecell_figure","ran","2026-07-21 06:28:21 UTC","2026-07-21 06:28:32 UTC",10.7961690425873,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/singlecell_figure.log"
"supplementary_tables","ran","2026-07-21 06:28:32 UTC","2026-07-21 06:28:32 UTC",0.335605144500732,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/supplementary_tables.log"
"validate","ran","2026-07-21 06:28:32 UTC","2026-07-21 06:29:08 UTC",36.0215771198273,"/Users/mayiding/Documents/选题/uc_antitnf_exploratory/logs/pipeline/validate.log"
