"panel","cohort","mechanism","n","responders","nonresponders","estimate","ci_lower","ci_upper","p_value","method","cohort_short","term","se","p_value_wald","singular","endpoint","score","mean_delta_responders","mean_delta_nonresponders","bootstrap_estimate","bootstrap_ci_lower","bootstrap_ci_upper","bootstrap_p","module"
"a_analytic_and_bootstrap","GSE16879 IFX","anti-TNF",24,8,16,-0.637925591758409,-1.82718155734073,0.551330373823908,0.277957332324698,"Analytic linear model","IFX · 16879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE73661 IFX","anti-TNF",23,8,15,-0.769625153157876,-1.79656435944775,0.257314053132001,0.134049718183126,"Analytic linear model","IFX · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE23597 IFX","anti-TNF",25,18,7,-0.770552319751974,-1.85608453483902,0.314979895335069,0.155536811520014,"Analytic linear model","IFX · 23597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE92415 golimumab","anti-TNF",42,24,18,-0.375957587653512,-0.927986868181245,0.176071692874221,0.17634026335863,"Analytic linear model","GLM · 92415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE73661 VDZ trial","anti-integrin",27,6,21,-0.46143109794606,-1.69388096873654,0.771018772844418,0.447878061937067,"Analytic linear model","VDZ trial · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE73661 VDZ observational","anti-integrin",13,3,10,-0.415176695429985,-1.37613620429449,0.545782813434524,0.36207032505034,"Analytic linear model","VDZ obs · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE16879 IFX","anti-TNF",24,8,16,-0.637925591758409,-1.4150513786349,0.215308747925708,0.14,"4,000-resample bootstrap","IFX · 16879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE73661 IFX","anti-TNF",23,8,15,-0.769625153157876,-1.60375061455202,0.0622069417784837,0.07,"4,000-resample bootstrap","IFX · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE23597 IFX","anti-TNF",25,18,7,-0.770552319751975,-1.47661210878233,-0.0212516522049705,0.043,"4,000-resample bootstrap","IFX · 23597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_analytic_and_bootstrap","GSE92415 golimumab","anti-TNF",42,24,18,-0.375957587653512,-0.926537330328784,0.158069434193633,0.1605,"4,000-resample bootstrap","GLM · 92415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
