"panel","node","x","y","n","label","class","to","from","x_start","y_start","x_end","y_end","cohort","mechanism","response","high_baseline_n","reversal_n","reversal_rate","cohort_short","cohort_index","plot_y","odds_ratio","ci_lower","ci_upper","p_value","active_n","placebo_n","estimate","mean_delta_active","mean_delta_placebo","cohort_label"
"a_flow_nodes","high",0,1.5,53,"High baseline tertile
n=53","Definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_nodes","yes",1,2.1,11,"Responders
n=11","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_nodes","no",1,0.9,42,"Non-responders
n=42","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_nodes","yes_rev",2,2.55,6,"Reversal
6/11","Reversal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_nodes","yes_persist",2,1.75,5,"Persistent high
5/11","Persistent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_nodes","no_rev",2,1.15,20,"Reversal
20/42","Reversal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_nodes","no_persist",2,0.35,22,"Persistent high
22/42","Persistent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_edges",NA,NA,NA,42,NA,NA,"no","high",0,1.5,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_edges",NA,NA,NA,22,NA,NA,"no_persist","no",1,0.9,2,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_edges",NA,NA,NA,20,NA,NA,"no_rev","no",1,0.9,2,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_edges",NA,NA,NA,11,NA,NA,"yes","high",0,1.5,1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_edges",NA,NA,NA,5,NA,NA,"yes_persist","yes",1,2.1,2,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_flow_edges",NA,NA,NA,6,NA,NA,"yes_rev","yes",1,2.1,2,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE16879 IFX","anti-TNF","No",8,4,0.5,"IFX · 16879",6,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE23597 IFX","anti-TNF","No",3,1,0.333333333333333,"IFX · 23597",5,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE23597 IFX","anti-TNF","Yes",5,3,0.6,"IFX · 23597",5,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 IFX","anti-TNF","No",7,4,0.571428571428571,"IFX · 73661",4,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 IFX","anti-TNF","Yes",1,1,1,"IFX · 73661",4,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 VDZ observational","anti-integrin","No",5,2,0.4,"VDZ obs · 73661",3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 VDZ trial","anti-integrin","No",9,5,0.555555555555556,"VDZ trial · 73661",2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE92415 golimumab","anti-TNF","No",10,4,0.4,"GLM · 92415",1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_transition_rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE92415 golimumab","anti-TNF","Yes",5,2,0.4,"GLM · 92415",1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_reversal_response_or",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"GSE16879 IFX",NA,NA,NA,NA,NA,"IFX · 16879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_reversal_response_or",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"GSE23597 IFX",NA,NA,NA,NA,NA,"IFX · 23597",NA,NA,2.33333333330592,0.179989144334372,40.4338945267979,0.516877913993461,NA,NA,NA,NA,NA,NA
"c_reversal_response_or",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 IFX",NA,NA,NA,NA,NA,"IFX · 73661",NA,NA,2.3333333333333,0.0909912748687173,385.726489478418,0.620001509560857,NA,NA,NA,NA,NA,NA
"c_reversal_response_or",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 VDZ observational",NA,NA,NA,NA,NA,"VDZ obs · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_reversal_response_or",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73661 VDZ trial",NA,NA,NA,NA,NA,"VDZ trial · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_reversal_response_or",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,"GSE92415 golimumab",NA,NA,NA,NA,NA,"GLM · 92415",NA,NA,1.03174603174354,0.124208209410828,7.94643975071885,0.975810187831489,NA,NA,NA,NA,NA,NA
"d_active_placebo_change",NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,"GSE92415",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.540604036109498,0.328178342684983,0.626811866730738,42,23,-0.106212846712258,-0.465370692825161,-0.359157846112903,"GSE92415"
"d_active_placebo_change",NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,"GSE23597",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45249456411712,0.569711764607136,0.380142324694328,25,8,-0.441391399754992,-0.696472427533437,-0.255081027778445,"GSE23597"
