"compartment","state","gene","donors","samples","cells","mean_expression","pct_expressing","aggregation","mean_expression_z"
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","IL1B",14,22,1430,0.0121411837970139,0.00893356490773948,"Sample-first; samples equal-weighted",-0.357612496426422
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","IL6",14,22,1430,0.381760938270807,0.135399176315898,"Sample-first; samples equal-weighted",0.644863834068293
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","CXCL10",14,22,1430,0.882616371283134,0.0967332616878362,"Sample-first; samples equal-weighted",0.572567324731409
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","CCL2",14,22,1430,10.3899027223909,0.811733174361278,"Sample-first; samples equal-weighted",1.99901642348538
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","NFKB1",14,22,1430,0.22640022351781,0.17525978830249,"Sample-first; samples equal-weighted",-0.886441966521529
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","PLAUR",14,22,1430,0.178331059235724,0.127879228840438,"Sample-first; samples equal-weighted",-0.547504746279341
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","ICAM1",14,22,1430,3.45626253085318,0.701473549202919,"Sample-first; samples equal-weighted",1.77004481857946
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","CXCL8",14,22,1430,0.977957583349703,0.133980270843239,"Sample-first; samples equal-weighted",-0.265256712310377
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOShi fibroblast","OSM",14,22,1430,0,0,"Sample-first; samples equal-weighted",-0.368488865200951
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","IL1B",16,25,2950,0.0142830249950326,0.00876275396189041,"Sample-first; samples equal-weighted",-0.357229712855841
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","IL6",16,25,2950,0.148664227723706,0.0480963442229665,"Sample-first; samples equal-weighted",-0.114737680568596
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","CXCL10",16,25,2950,0.254940683409708,0.0459697469623818,"Sample-first; samples equal-weighted",-0.290647633315364
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","CCL2",16,25,2950,8.2729120941268,0.747099836190051,"Sample-first; samples equal-weighted",1.46061853970139
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","NFKB1",16,25,2950,0.345440463867516,0.253289793120062,"Sample-first; samples equal-weighted",-0.454867542106867
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","PLAUR",16,25,2950,0.230500233552648,0.162552330566223,"Sample-first; samples equal-weighted",-0.510117041185512
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","ICAM1",16,25,2950,1.42342654793508,0.355716340390765,"Sample-first; samples equal-weighted",0.251817979240724
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","CXCL8",16,25,2950,0.499730674419096,0.0786591008392978,"Sample-first; samples equal-weighted",-0.388352081518979
"Fibroblast/pericyte","ABCA8pos WNT2Bpos FOSlo fibroblast","OSM",16,25,2950,0.000555555555555556,0.000555555555555556,"Sample-first; samples equal-weighted",-0.365078267490765
"Myeloid","C1Qhi IL1Bhi macro","IL1B",9,14,463,15.6145737355017,0.857173075806166,"Sample-first; samples equal-weighted",2.43080844132473
"Myeloid","C1Qhi IL1Bhi macro","IL6",9,14,463,0.339392650717706,0.0724887468943411,"Sample-first; samples equal-weighted",0.506796611573518
"Myeloid","C1Qhi IL1Bhi macro","CXCL10",9,14,463,1.61872740681496,0.195383204817669,"Sample-first; samples equal-weighted",1.58490868019666
"Myeloid","C1Qhi IL1Bhi macro","CCL2",9,14,463,1.08860575403252,0.188178268167547,"Sample-first; samples equal-weighted",-0.366510630508704
"Myeloid","C1Qhi IL1Bhi macro","NFKB1",9,14,463,1.22128399359371,0.554394572956098,"Sample-first; samples equal-weighted",2.72045927266145
"Myeloid","C1Qhi IL1Bhi macro","PLAUR",9,14,463,4.66861030265007,0.816816731282021,"Sample-first; samples equal-weighted",2.67051122464343
"Myeloid","C1Qhi IL1Bhi macro","ICAM1",9,14,463,2.94921705431785,0.719496811900022,"Sample-first; samples equal-weighted",1.39135708493546
