"state","gene","mean_expression","pct_expressing","cells","mean_expression_z"
"C1Qhi IL1Bhi macro","IL1B",19.5227817745803,0.899280575539568,834,0.782736326240765
"C1Qhi IL1Bhi macro","IL6",0.254196642685851,0.0611510791366906,834,0.75702110315016
"C1Qhi IL1Bhi macro","CXCL10",0.904076738609113,0.124700239808153,834,-0.497864738066614
"C1Qhi IL1Bhi macro","CCL2",0.586330935251799,0.140287769784173,834,0.208852495900238
"C1Qhi IL1Bhi macro","NFKB1",1.21942446043165,0.568345323741007,834,0.0828450482519336
"C1Qhi IL1Bhi macro","PLAUR",4.45443645083933,0.824940047961631,834,1.3303371810452
"C1Qhi IL1Bhi macro","ICAM1",2.50719424460432,0.709832134292566,834,1.17892440810585
"C1Qhi IL1Blo macro","IL1B",4.99885189437428,0.420206659012629,871,-0.770932531818764
"C1Qhi IL1Blo macro","IL6",0.502870264064294,0.0941446613088404,871,2.26878498672092
"C1Qhi IL1Blo macro","CXCL10",1.64867967853042,0.166475315729047,871,-0.310023465906733
"C1Qhi IL1Blo macro","CCL2",0.3398392652124,0.0803673938002296,871,-0.370081469744491
"C1Qhi IL1Blo macro","NFKB1",0.692307692307692,0.323765786452354,871,-0.838981010797129
"C1Qhi IL1Blo macro","PLAUR",2.43398392652124,0.455797933409874,871,0.0822798985206527
"C1Qhi IL1Blo macro","ICAM1",1.63260619977038,0.407577497129736,871,-0.0726390331548342
"CD1Chi DC","IL1B",22.6133866133866,0.927072927072927,1001,1.11334770554559
"CD1Chi DC","IL6",0.044955044955045,0.016983016983017,1001,-0.515023308463081
"CD1Chi DC","CXCL10",0.512487512487512,0.0709290709290709,1001,-0.596651103866564
"CD1Chi DC","CCL2",0.197802197802198,0.0809190809190809,1001,-0.703683342339992
"CD1Chi DC","NFKB1",1.25974025974026,0.566433566433566,1001,0.153349643517104
"CD1Chi DC","PLAUR",3.24575424575425,0.767232767232767,1001,0.583719970218438
"CD1Chi DC","ICAM1",1.55844155844156,0.611388611388611,1001,-0.17877100496676
"Cycling MNP","IL1B",12.1680672268908,0.453781512605042,119,-0.00401980979894987
"Cycling MNP","IL6",0.092436974789916,0.0504201680672269,119,-0.226365966165569
"Cycling MNP","CXCL10",1.76470588235294,0.151260504201681,119,-0.28075349051259
"Cycling MNP","CCL2",0.957983193277311,0.109243697478992,119,1.0817506167379
"Cycling MNP","NFKB1",0.831932773109244,0.369747899159664,119,-0.594803542419891
"Cycling MNP","PLAUR",1.73949579831933,0.420168067226891,119,-0.346713584670335
"Cycling MNP","ICAM1",1.68067226890756,0.411764705882353,119,-0.00385495217802352
"LAMP3pos DC","IL1B",3.9047619047619,0.285714285714286,42,-0.887970658468775
"LAMP3pos DC","IL6",0.19047619047619,0.0952380952380952,42,0.369644759164071
"LAMP3pos DC","CXCL10",2.14285714285714,0.238095238095238,42,-0.185357125505654
"LAMP3pos DC","CCL2",0.119047619047619,0.0952380952380952,42,-0.888653895640154
"LAMP3pos DC","NFKB1",2,0.595238095238095,42,1.44792185275451
"LAMP3pos DC","PLAUR",0.261904761904762,0.0952380952380952,42,-1.25943894267527
"LAMP3pos DC","ICAM1",1.71428571428571,0.523809523809524,42,0.0442469623388788
"LAMP3pos IL1Bpos DC","IL1B",22.5,0.9,20,1.10121839539381
"LAMP3pos IL1Bpos DC","IL6",0.05,0.05,20,-0.484353465843971
"LAMP3pos IL1Bpos DC","CXCL10",12.85,0.75,20,2.51573795168521
"LAMP3pos IL1Bpos DC","CCL2",0.55,0.25,20,0.123522178581427
"LAMP3pos IL1Bpos DC","NFKB1",1.85,0.75,20,1.18560064193535
"LAMP3pos IL1Bpos DC","PLAUR",3.7,0.85,20,0.864312914036116
"LAMP3pos IL1Bpos DC","ICAM1",2.7,0.7,20,1.45483560554705
"Mast","IL1B",0.0753086419753086,0.0382716049382716,810,-1.29761889602289
"Mast","IL6",0.00123456790123457,0.00123456790123457,810,-0.780813615517196
"Mast","CXCL10",0.00123456790123457,0.00123456790123457,810,-0.725625082288836
"Mast","CCL2",0.0530864197530864,0.0345679012345679,810,-1.04357669153083
"Mast","NFKB1",0.204938271604938,0.145679012345679,810,-1.69129658783032
"Mast","PLAUR",0.358024691358025,0.21358024691358,810,-1.20006453198953
"Mast","ICAM1",0.217283950617284,0.140740740740741,810,-2.09801040097315
"S100A8 A9hi mono","IL1B",21.0676470588235,0.933823529411765,1360,0.947995254218451
"S100A8 A9hi mono","IL6",0.0308823529411765,0.0169117647058824,1360,-0.600575557283251
"S100A8 A9hi mono","CXCL10",1.43161764705882,0.183088235294118,1360,-0.364781788689534
"S100A8 A9hi mono","CCL2",0.315441176470588,0.100735294117647,1360,-0.427385159833455
"S100A8 A9hi mono","NFKB1",0.954411764705882,0.519852941176471,1360,-0.380611293249625
"S100A8 A9hi mono","PLAUR",3.87058823529412,0.831617647058824,1360,0.969687272903415
"S100A8 A9hi mono","ICAM1",1.56838235294118,0.605147058823529,1360,-0.164545410361051
"XCR1pos DC","IL1B",3,0.25,28,-0.984755785289233
"XCR1pos DC","IL6",0,0,28,-0.788318935762088
"XCR1pos DC","CXCL10",4.64285714285714,0.0714285714285714,28,0.445318843151319
"XCR1pos DC","CCL2",1.35714285714286,0.107142857142857,28,2.01925526786936
"XCR1pos DC","NFKB1",1.53571428571429,0.535714285714286,28,0.635975247838066
"XCR1pos DC","PLAUR",0.642857142857143,0.214285714285714,28,-1.02412017738869
"XCR1pos DC","ICAM1",1.57142857142857,0.5,28,-0.160186174357957
