"cohort","covariate","n_total","n_individual_nonmissing","missing_n","availability","source_field","within_cohort_variation","eligible_for_adjustment","used_in_adjustment","note"
"GSE16879 IFX","Age",24,0,24,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 IFX","Age",23,0,23,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE23597 IFX","Age",31,0,31,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE92415 golimumab","Age",59,59,0,"Individual-level complete","GSE92415 age:ch1","Yes",TRUE,TRUE,"Age was included as a precision/confounding adjustment"
"GSE206285 ustekinumab","Age",364,0,364,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ trial","Age",27,0,27,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ observational","Age",13,0,13,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE16879 IFX","Sex",24,0,24,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 IFX","Sex",23,0,23,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE23597 IFX","Sex",31,0,31,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE92415 golimumab","Sex",59,0,59,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE206285 ustekinumab","Sex",364,0,364,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ trial","Sex",27,0,27,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 VDZ observational","Sex",13,0,13,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE16879 IFX","Disease duration",24,0,24,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE73661 IFX","Disease duration",23,0,23,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
"GSE23597 IFX","Disease duration",31,0,31,"Not publicly released at participant level",NA,"Unavailable",FALSE,FALSE,"Not present in the GEO series matrix or accession-level supplementary metadata"
